Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-09-05,454.882,454.882,437.386,439.885,20265.276165928
2022-09-06,439.885,439.885,433.387,437.386,140094.47429652
2022-09-07,436.386,437.886,426.389,426.389,74559.411915512
2022-09-08,435.886,437.386,424.889,428.888,168366.83514696
2022-09-09,425.389,439.386,425.389,432.387,56429.691752262
2022-09-12,439.885,443.385,431.888,439.885,62294.218611138
2022-09-13,442.885,449.883,437.886,444.884,46592.130494024
2022-09-14,444.384,445.884,434.887,437.886,60980.876676002
2022-09-15,434.887,437.886,429.888,433.887,22150.767062906
2022-09-16,438.386,438.386,426.389,429.888,43384.295318104
2022-09-20,423.89,431.888,423.89,424.889,45242.779183667
2022-09-21,430.888,432.387,419.891,422.39,162523.31375697
2022-09-22,411,419,410,416,86280
2022-09-23,417,417,405,412.5,54277
2022-09-26,405,409,387.5,395,280997
2022-09-27,403,403,393,395,88661
2022-09-28,394.5,394.5,377.5,386,358919
2022-09-29,375.5,383,373,383,62995
2022-09-30,383,391,380,391,48298
2022-10-03,374,396.5,374,380.5,58801
2022-10-04,397,397,384,390,56930
2022-10-05,392,393.5,384,393.5,80719
2022-10-06,391,395,383,393,91035
2022-10-07,405,405,392,398.5,50796
2022-10-10,393,396,392,395,22761
2022-10-11,396,396,388.5,388.5,20767
2022-10-12,394,394.5,385.5,390,103969
2022-10-13,390,403.5,385.5,403,95885
2022-10-14,403,416.5,399,408,42816
2022-10-17,417,422,411,411,40292
2022-10-18,425,425,414,418,58803
2022-10-19,405,414,405,410,34438
2022-10-20,408,420.5,408,420.5,56162
2022-10-21,407.5,426,407.5,424,142147
2022-10-24,425,433,419,423.5,124070
2022-10-25,424.5,430,422,422.5,51937
2022-10-26,422.5,437.5,422.5,428.5,181587
2022-10-27,443,443,424.5,424.5,58401
2022-10-28,426,426,417.5,417.5,47859
2022-10-31,437.5,437.5,410,410.5,50253
2022-11-01,410,418.5,402,410,110598
2022-11-02,410,415.5,406,406,103445
2022-11-03,408,411,399.5,408.5,185324
2022-11-04,409,421,409,416.5,413961
2022-11-07,416,426.5,415.5,424,439575
2022-11-08,425,433,424,430.5,248848
2022-11-09,436,440,428.5,432,293568
2022-11-10,433.5,439,430,438.5,92955
2022-11-11,442.5,455.5,440,449,94915
2022-11-14,448,457.5,444,448,27103
2022-11-15,452,456,445,449,142818
2022-11-16,445,446,441.5,446,55379
2022-11-17,446,448.5,444.5,445,46337
2022-11-18,445,445.5,442,442,16551
2022-11-21,440.5,440.5,433.5,440,75230
2022-11-22,438.5,447,437,445,25318
2022-11-23,445,445,437,443,56279
2022-11-24,446.5,447.5,440,443.5,20376
2022-11-25,440,448.5,430,438,71367
2022-11-28,442.5,443.5,436,440,38984
2022-11-29,448,448,432,437.5,415991
2022-11-30,440,441,432,432,108484
2022-12-01,432.5,437,430,435.5,26126
2022-12-02,434,440.5,430.5,432,29846
2022-12-05,436.5,442.5,431,435.5,98416
2022-12-06,433.5,433.5,427.5,427.5,41985
2022-12-07,433,433.5,416.5,420,332606
2022-12-08,427,432,425.5,425.5,17268
2022-12-09,427,434.5,426,426,33302
2022-12-12,428,428,415,415,37838
2022-12-13,417,423,416.5,418.5,88546
2022-12-14,424,424,408,417,108528
2022-12-15,417,421.5,416,419,46059
2022-12-16,419,420,415,418,34235
2022-12-19,418,418,411.5,413.5,143003
2022-12-20,416.5,416.5,413,414,60009
2022-12-21,415,420.5,415,420,129288
2022-12-22,421,423,417.5,423,60008
2022-12-23,430,430.5,430,430,50532
2022-12-28,435,435,428.5,430,45022
2022-12-29,430.5,436,430,435.5,22556
2022-12-30,438,438.5,437,438.5,14182
